["Backspace"]; 780375682
["Shift"]; 780375939
["Alt"]; 780376042
["Alt"]; 780376490
["Д"]; 780377212
["л"]; 780377418
["я"]; 780377629
[" "]; 780377794
["Shift"]; 780378156
["К"]; 780378470
["л"]; 780378717
["а"]; 780378833
["д"]; 780379018
["Backspace"]; 780379443
["й"]; 780379631
["д"]; 780379872
["а"]; 780380086
[" "]; 780380337
["н"]; 780381304
["а"]; 780381444
["с"]; 780381649
["т"]; 780381746
["а"]; 780381965
["л"]; 780382035
["а"]; 780382323
[" "]; 780382509
["п"]; 780382809
["о"]; 780383046
["р"]; 780383211
["а"]; 780383348
[" "]; 780383457
["п"]; 780383601
["о"]; 780383704
["л"]; 780383885
["н"]; 780384131
["о"]; 780384325
["г"]; 780384478
["о"]; 780384651
[" "]; 780384789
["о"]; 780384983
["д"]; 780385307
["и"]; 780385512
["н"]; 780385689
["о"]; 780385899
["ч"]; 780386100
["е"]; 780386368
["с"]; 780386586
["т"]; 780386689
["в"]; 780386826
["а"]; 780387000
["."]; 780387791
[" "]; 780413481
["Shift"]; 780414036
["Н"]; 780414623
["е"]; 780414883
[" "]; 780415046
["б"]; 780415453
["ы"]; 780415709
["л"]; 780415871
["о"]; 780416021
[" "]; 780416153
["т"]; 780416387
["е"]; 780416539
["п"]; 780416714
["е"]; 780416847
["р"]; 780416911
["ь"]; 780417080
[" "]; 780417182
["н"]; 780417440
["а"]; 780417609
["Backspace"]; 780418323
["и"]; 780418606
["к"]; 780418752
["о"]; 780418883
["г"]; 780419543
["о"]; 780419716
["."]; 780420362
[" "]; 780420532
["Backspace"]; 780422145
["Backspace"]; 780422284
[" "]; 780422729
["-"]; 780424446
[" "]; 780424581
["н"]; 780424797
["и"]; 780424985
[" "]; 780425200
["о"]; 780425357
["д"]; 780426255
["н"]; 780426521
["о"]; 780426764
["г"]; 780426946
["о"]; 780427118
[" "]; 780427227
["ч"]; 780427503
["е"]; 780427779
["л"]; 780427986
["о"]; 780428132
["в"]; 780428314
["е"]; 780428542
["к"]; 780428726
["а"]; 780428862
["Shift"]; 780429152
[","]; 780429238
[" "]; 780429382
["к"]; 780429537
["о"]; 780429686
["т"]; 780429853
["о"]; 780430006
["р"]; 780430179
["ы"]; 780430670
["й"]; 780430872
[" "]; 780431037
["с"]; 780431409
["Backspace"]; 780432167
["х"]; 780432784
["о"]; 780433004
["т"]; 780433167
["ь"]; 780433356
[" "]; 780433485
["с"]; 780433628
["к"]; 780433846
["о"]; 780433914
["л"]; 780434092
["ь"]; 780434262
["к"]; 780434425
["о"]; 780434540
[" "]; 780434714
["Backspace"]; 780435376
["-"]; 780436187
["н"]; 780436546
["и"]; 780436714
["б"]; 780437105
["у"]; 780437297
["д"]; 780437396
["т"]; 780437610
[" "]; 780437799
["б"]; 780438460
["ы"]; 780438653
["л"]; 780438793
[" "]; 780438917
["б"]; 780439106
["ы"]; 780439296
[" "]; 780439398
["е"]; 780439549
["м"]; 780439736
["у"]; 780439992
[" "]; 780440101
["л"]; 780440274
["л"]; 780440455
["и"]; 780440639
["з"]; 780441122
["о"]; 780441344
["к"]; 780441556
["."]; 780441701
["Backspace"]; 780443931
["б"]; 780444202
